DIVISION,CATEGORY,NORMAL BALANCE PRICE SQFT,FABRIC WITH ACETATE SQFT,FABRIC COLOR
Combi,Basic,85,95,
,Luxuy Woodlook,95,105,
,Woodlook Normal,104,114,
,Woodlook Premiere,107,117,
,3-Color Wooklook,107,117,
,Orion,105,115,
,Orion Premier,108,118,
,Provence,116,126,
Special Combi,Woolsy,128,138,
,Indian S/T,135,145,
,Eco 7 Line Pleated,122,132,
,Elegance,125,135,
,Open Grace 2 Line Pleated,139,149,
,Twins Metal 8-Line,148,158,
,Cube,190,200,
Combi Blackout,Mirage,140,150,
,Joker 1 Tone,155,165,
,Joker 2 Tone,155,165,
,Full House,175,185,
,Wide Blackout,185,195,
,Luxuy Blackout,130,140,
,Luxury Wide Blackout,130,140,
Tripe Shade,Bres,185,185,
,Pop 3D,140,140,
Tripe Blackout,New Triple Blackout,215,215,
Vertical Blinds,Noblesse,200,200,
,Noblesse (Both Sides),200,200,
,Smart Curtain (Plain),200,200,
,Smart Curtain (Honey),200,200,
Roll Up,Terace,68,68,
,T/C,68,68,
,Mono,76,76,
,Eco Screen 1,82,82,
,Cubic,82,82,
,Cello Single,87,87,
,Hanoi,89,89,
Roll Up Blackout,Single Blackout,83,83,
,Pearl Blackout,86,86,
,Harmony Blackout,96,96,
,100% Blackout,99,99,
,1100,76,76,
,200,72,72,
,6900,78,78,
,8800,78,78,
,9100,78,78,
,9300,78,78,
,B570,80,80,
,B6800,78,78,
,W610,69,69,
,3004,80,80,
Sunscreen,Sunscreen,88,88,
,1079,80,80,
,1080,80,80,
,1078,75,75,
,HDN Blackout,350,350,
,HDN Duo,190,190,
,New HDL Duo,205,205,
,HDL 38MM Blackout,350,350,
,HDL 38MM General,240,240,
Woodblinds,"Woodblinds (Ladder Type)
+P20/sqft",220,220,
Vertical Motorized,Vertical Motorized,"18,000","18,000",
,Remote Control,"1,500","1,500",
Curtains,Curtains,380,380,
,Sheer,120,120,
,Blackout Curtains,250,250,
,Curtain Motorized,"11,000","11,000",
